Bandit,Reward,Algorithm
3,2.996288807055209,Epsilon-Greedy
3,3.400706746303449,Epsilon-Greedy
3,2.910270323969385,Epsilon-Greedy
3,3.244506448085202,Epsilon-Greedy
3,5.823810430836177,Epsilon-Greedy
3,3.3577914432946576,Epsilon-Greedy
3,4.577112484546315,Epsilon-Greedy
3,3.0798101505566886,Epsilon-Greedy
3,3.2184447641963305,Epsilon-Greedy
3,1.5799685057797346,Epsilon-Greedy
3,3.281303601887791,Epsilon-Greedy
3,5.1601984593318315,Epsilon-Greedy
3,3.775195398962061,Epsilon-Greedy
3,4.039732292708166,Epsilon-Greedy
3,5.257750934320555,Epsilon-Greedy
3,1.9556122134340024,Epsilon-Greedy
3,2.715575722392027,Epsilon-Greedy
3,3.137199021207467,Epsilon-Greedy
3,3.6372814360578793,Epsilon-Greedy
3,3.606698984632328,Epsilon-Greedy
3,5.030571827369274,Epsilon-Greedy
3,4.395935169753784,Epsilon-Greedy
3,3.650199439092593,Epsilon-Greedy
3,2.9016624346638,Epsilon-Greedy
3,5.379939298217995,Epsilon-Greedy
3,4.777367754322407,Epsilon-Greedy
3,1.7768631052862922,Epsilon-Greedy
3,2.6132992882838915,Epsilon-Greedy
3,4.235982611025387,Epsilon-Greedy
3,2.897606387205286,Epsilon-Greedy
3,5.8898303172735655,Epsilon-Greedy
3,3.5344338537450923,Epsilon-Greedy
3,3.4778912369113333,Epsilon-Greedy
3,3.2993440833351104,Epsilon-Greedy
3,2.807329469589096,Epsilon-Greedy
3,3.3132119526096235,Epsilon-Greedy
3,4.86240520787475,Epsilon-Greedy
3,5.2105029008431565,Epsilon-Greedy
3,2.9964558198063247,Epsilon-Greedy
3,3.3099962382266046,Epsilon-Greedy
3,3.5631471225453075,Epsilon-Greedy
3,3.8732520402279453,Epsilon-Greedy
3,4.809454698581624,Epsilon-Greedy
3,5.203986128426416,Epsilon-Greedy
3,5.427971578693715,Epsilon-Greedy
3,5.281443202167726,Epsilon-Greedy
3,3.796438339754688,Epsilon-Greedy
3,3.3317726703726342,Epsilon-Greedy
3,3.0262654162483584,Epsilon-Greedy
3,3.7386578862953512,Epsilon-Greedy
3,3.224186362295735,Epsilon-Greedy
3,3.817920405632705,Epsilon-Greedy
3,3.2495526905073975,Epsilon-Greedy
3,5.564179364779629,Epsilon-Greedy
3,2.773969850613565,Epsilon-Greedy
3,3.7023522029567433,Epsilon-Greedy
3,3.2653634544317316,Epsilon-Greedy
3,3.011888858766019,Epsilon-Greedy
3,3.2245721948537343,Epsilon-Greedy
3,4.54590530858068,Epsilon-Greedy
3,3.726808871207649,Epsilon-Greedy
3,3.641797947584358,Epsilon-Greedy
3,3.336380585906558,Epsilon-Greedy
3,4.202334437858061,Epsilon-Greedy
3,3.078068946430956,Epsilon-Greedy
3,3.219549730114911,Epsilon-Greedy
3,5.339603388905051,Epsilon-Greedy
3,3.583347962074345,Epsilon-Greedy
3,5.11792719417534,Epsilon-Greedy
3,2.92682136376783,Epsilon-Greedy
3,4.153882762131609,Epsilon-Greedy
3,4.687431111113014,Epsilon-Greedy
3,5.142269461223791,Epsilon-Greedy
3,3.7487624465480347,Epsilon-Greedy
3,3.8168312718924318,Epsilon-Greedy
3,5.0288355113846075,Epsilon-Greedy
3,2.919438619444451,Epsilon-Greedy
3,2.940472684779494,Epsilon-Greedy
3,3.6724062876080574,Epsilon-Greedy
3,2.308221544338732,Epsilon-Greedy
3,3.5698189744820747,Epsilon-Greedy
3,3.4349588555195583,Epsilon-Greedy
3,3.216996349436715,Epsilon-Greedy
3,4.292796140793211,Epsilon-Greedy
3,5.101970649986965,Epsilon-Greedy
3,3.834347680989849,Epsilon-Greedy
3,5.041673209936909,Epsilon-Greedy
3,2.977537292886727,Epsilon-Greedy
3,3.883932625026465,Epsilon-Greedy
3,4.262016262287939,Epsilon-Greedy
3,3.5903744674868205,Epsilon-Greedy
3,5.347583039013966,Epsilon-Greedy
3,4.395002999525603,Epsilon-Greedy
3,3.795768228291886,Epsilon-Greedy
3,4.957319560737928,Epsilon-Greedy
3,3.7244956051645834,Epsilon-Greedy
3,3.874024941657777,Epsilon-Greedy
3,4.250430849058211,Epsilon-Greedy
3,5.669617624264449,Epsilon-Greedy
3,4.086459284329156,Epsilon-Greedy
3,3.302712524669151,Epsilon-Greedy
3,3.381141400903705,Epsilon-Greedy
3,4.489796712552191,Epsilon-Greedy
3,3.422359108582254,Epsilon-Greedy
3,4.006098559342431,Epsilon-Greedy
3,5.402364793081509,Epsilon-Greedy
3,2.310780758881398,Epsilon-Greedy
3,3.417791479366195,Epsilon-Greedy
3,4.239438903662348,Epsilon-Greedy
3,4.199503184337588,Epsilon-Greedy
3,2.6069227019725827,Epsilon-Greedy
3,4.237018485591586,Epsilon-Greedy
3,3.655349545184884,Epsilon-Greedy
3,4.178655788490697,Epsilon-Greedy
3,3.5079189573799954,Epsilon-Greedy
3,3.6533223239939283,Epsilon-Greedy
3,4.412369803078445,Epsilon-Greedy
3,4.082191246912748,Epsilon-Greedy
3,3.0802352198655973,Epsilon-Greedy
3,3.8146214677769583,Epsilon-Greedy
3,3.967941257706937,Epsilon-Greedy
3,5.113057279877984,Epsilon-Greedy
3,4.029490044174963,Epsilon-Greedy
3,3.921320019066196,Epsilon-Greedy
3,3.807618243474206,Epsilon-Greedy
3,2.4801684287128962,Epsilon-Greedy
3,4.880431269798192,Epsilon-Greedy
3,4.34685490952791,Epsilon-Greedy
3,4.51860614312697,Epsilon-Greedy
3,4.789626978384009,Epsilon-Greedy
3,2.734375113560442,Epsilon-Greedy
3,3.894876197008892,Epsilon-Greedy
3,2.8028580391049838,Epsilon-Greedy
3,3.307726032990967,Epsilon-Greedy
3,3.4814294729117905,Epsilon-Greedy
3,4.130724877335887,Epsilon-Greedy
3,4.972050874416713,Epsilon-Greedy
3,5.101023639242587,Epsilon-Greedy
3,4.796789251038651,Epsilon-Greedy
3,3.8060578902175215,Epsilon-Greedy
3,4.055335432340029,Epsilon-Greedy
3,4.270035879204146,Epsilon-Greedy
3,4.166662306021358,Epsilon-Greedy
3,3.486665361194583,Epsilon-Greedy
3,3.06584240082563,Epsilon-Greedy
3,2.918497493419921,Epsilon-Greedy
3,3.0422126346150016,Epsilon-Greedy
3,4.396118008080761,Epsilon-Greedy
3,4.988377710895316,Epsilon-Greedy
3,1.3720491017215397,Epsilon-Greedy
3,4.334185621894306,Epsilon-Greedy
3,4.170482880010693,Epsilon-Greedy
3,3.199510044308759,Epsilon-Greedy
3,4.4159481016778415,Epsilon-Greedy
3,4.406869539651847,Epsilon-Greedy
3,3.6682144866660167,Epsilon-Greedy
3,3.2063081522428867,Epsilon-Greedy
3,3.524095107806673,Epsilon-Greedy
3,5.172820483816246,Epsilon-Greedy
3,4.0039809812788425,Epsilon-Greedy
3,3.765000262628248,Epsilon-Greedy
3,3.0675523100063216,Epsilon-Greedy
3,4.5913761512413,Epsilon-Greedy
3,5.215022042164801,Epsilon-Greedy
3,2.3607262704885965,Epsilon-Greedy
3,2.116309236302026,Epsilon-Greedy
3,5.0570375763079385,Epsilon-Greedy
3,6.104745415582837,Epsilon-Greedy
3,4.539824188078236,Epsilon-Greedy
3,4.113533173256274,Epsilon-Greedy
3,3.759138811521723,Epsilon-Greedy
3,3.641663021441071,Epsilon-Greedy
3,3.8446390537599155,Epsilon-Greedy
3,4.171448476108926,Epsilon-Greedy
3,3.4516537561670413,Epsilon-Greedy
3,4.828490147466105,Epsilon-Greedy
3,2.2395358986263796,Epsilon-Greedy
3,3.3354578615287878,Epsilon-Greedy
3,2.687105939617703,Epsilon-Greedy
3,3.808404584565291,Epsilon-Greedy
3,3.9802139426464027,Epsilon-Greedy
3,4.660417733899063,Epsilon-Greedy
3,3.1873480669333096,Epsilon-Greedy
3,3.4716032328589956,Epsilon-Greedy
3,3.6668335697395382,Epsilon-Greedy
3,4.923645478449439,Epsilon-Greedy
3,4.609428900984117,Epsilon-Greedy
3,3.732310232571964,Epsilon-Greedy
3,4.212447693611841,Epsilon-Greedy
3,2.751354850304103,Epsilon-Greedy
3,4.8538272818751045,Epsilon-Greedy
3,4.7389141712878295,Epsilon-Greedy
3,2.125582994887479,Epsilon-Greedy
3,4.029411931875134,Epsilon-Greedy
3,4.39044905675637,Epsilon-Greedy
3,4.133607803588941,Epsilon-Greedy
3,3.856043192253399,Epsilon-Greedy
3,3.929157535342015,Epsilon-Greedy
3,3.4654970441926487,Epsilon-Greedy
3,5.791593392660156,Epsilon-Greedy
3,4.726623228211936,Epsilon-Greedy
3,5.381588066896133,Epsilon-Greedy
3,2.3699171346478947,Epsilon-Greedy
3,4.419264039551546,Epsilon-Greedy
3,4.135356689839211,Epsilon-Greedy
3,4.404715040044644,Epsilon-Greedy
3,2.534572375581678,Epsilon-Greedy
3,2.946030583458292,Epsilon-Greedy
3,3.321989741657133,Epsilon-Greedy
3,6.211192390105386,Epsilon-Greedy
3,2.67632760257679,Epsilon-Greedy
3,4.641592814072199,Epsilon-Greedy
3,4.609137341301144,Epsilon-Greedy
3,3.006271641778183,Epsilon-Greedy
3,5.102909039883475,Epsilon-Greedy
3,5.9077128851343605,Epsilon-Greedy
3,3.316978300237704,Epsilon-Greedy
3,3.6431493918502675,Epsilon-Greedy
3,3.5155447212112,Epsilon-Greedy
3,3.5978778406757757,Epsilon-Greedy
3,4.061431839325139,Epsilon-Greedy
3,3.8614191550493464,Epsilon-Greedy
3,3.4848485894173793,Epsilon-Greedy
3,3.553316535374159,Epsilon-Greedy
3,3.562181178767707,Epsilon-Greedy
3,5.584047677380081,Epsilon-Greedy
3,4.8571324838913545,Epsilon-Greedy
3,2.3138817728293635,Epsilon-Greedy
3,3.3497758508806745,Epsilon-Greedy
3,3.6839133396876407,Epsilon-Greedy
3,1.0064623673565953,Epsilon-Greedy
3,3.6288120427695505,Epsilon-Greedy
3,2.1638968485663694,Epsilon-Greedy
3,3.384341449974896,Epsilon-Greedy
3,4.342228889419621,Epsilon-Greedy
